"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"520","CA4200979",NA,NA,NA,"BRANDER VINEYARD","Transient non-community system","Santa Barbara"
"521","CA1000664",NA,NA,NA,"MERCEY HOT SPRINGS","Transient non-community system","Fresno"
"522","CA0310804",NA,NA,NA,"BELLEDOR VINEYARDS","Transient non-community system","Amador"
"523","CA0105017",NA,NA,NA,"RANCHO LOS MOCHOS-BSA CAMP","Transient non-community system","Alameda"
"524","CA0202507",NA,NA,NA,"CHARITY VALLEY RANCH","Transient non-community system","Alpine"
"525","CA4901423",NA,NA,NA,"COMSTOCK WINERY","Transient non-community system","Sonoma"
"526","CA4500343",NA,NA,NA,"SHINGLETOWN STORE WATER SYSTEM","Transient non-community system","Shasta"
"527","CA3301175",NA,NA,NA,"HARMONY FARMS EVENT CENTER","Transient non-community system","Riverside"
"528","CA4810039",NA,NA,NA,"SALAD COSMO","Non-Transient non-community system","Solano"
"529","CA4000830",NA,NA,NA,"OCTAGON BARN CENTER ASSOCIATION","Transient non-community system","San Luis Obispo"
"530","CA1300620",NA,NA,NA,"RIO BEND RV GOLF RESORT & STORM CROSSING","Community water system","Imperial"
"531","CA1000660",NA,NA,NA,"COALINGA FLEA MARKET","Transient non-community system","Fresno"
"532","CA1000663",NA,NA,NA,"HUEBERT FARMS","Non-Transient non-community system","Fresno"
"533","CA1000666",NA,NA,NA,"CEMEX - ROCKFIELD","Non-Transient non-community system","Fresno"
"534","CA2400349",NA,NA,NA,"MERVEL AVENUE EMPLOYEE HOUSING WS","Transient non-community system","Merced"
"535","CA4600062",NA,NA,NA,"SHAFFER S HIGH SIERRA CAMP","Transient non-community system","Sierra"
"536","CA1000637",NA,NA,NA,"JEHOVAH'S WITNESSES CHURCH - REEDLEY","Transient non-community system","Fresno"
"537","CA2000962",NA,NA,NA,"THE MANOR ESTATE","Transient non-community system","Madera"
"538","CA5800010",NA,NA,NA,"DOLLAR GENERAL","Transient non-community system","Yuba"
"539","CA2702964",NA,NA,NA,"PEZZINI FARMS WS","Transient non-community system","Monterey"
"540","CA5700730",NA,NA,NA,"CREW WINE COMPANY","Non-Transient non-community system","Yolo"
"541","CA4301014",NA,NA,NA,"ALMA LATTER-DAY SAINTS CHURCH","Transient non-community system","Santa Clara"
"542","CA5000599",NA,NA,NA,"DARLING INGREDIENTS TURLOCK","Non-Transient non-community system","Stanislaus"
